TextBlob_Analysis BI,TextBlob_Polarity BI,TextBlob_Subjectivity BI,TextBlob_Subjectivity TIn,TextBlob_Polarity TIn,TextBlob_Analysis TIn,TextBlob_Polarity BIM,TextBlob_Subjectivity BIM,TextBlob_Analysis BIM,TextBlob_Subjectivity TIm,TextBlob_Polarity TIm,TextBlob_Analysis TIm
Positive,0.01525974,0.236282468,0.376373127,0.030372166,Positive,-0.083744331,0.512150416,Negative,0.438002671,0.236534494,Positive
Positive,0.152232143,0.5,0.390217148,0.053589019,Positive,0.103756651,0.492284489,Positive,0.463602543,0.144000271,Positive
Positive,0.178409091,0.526515152,0.456197064,0.174201252,Positive,0.071590909,0.4875,Positive,0.554290675,0.171577381,Positive
Positive,0.101587302,0.490740741,0.294321036,0.070357143,Positive,0.225435305,0.495619048,Positive,0.46014362599999997,0.019541503000000002,Positive
Positive,0.022586291,0.417805872,0.404129572,0.070758952,Positive,-0.009378265,0.494265935,Negative,0.367857143,0.10489418,Positive
Positive,0.079961325,0.441961676,0.422829132,0.099439776,Positive,0.061502783,0.397866419,Positive,0.391496599,-0.075382653,Negative
Positive,0.233333333,0.469444444,0.371208113,0.096858466,Positive,0.087289916,0.534768908,Positive,0.319047619,0.057142857,Positive
Positive,0.080682495,0.437634605,0.483596971,0.10560208,Positive,0.288541667,0.673958333,Positive,0.501298701,0.081818182,Positive
Positive,0.09829932,0.548979592,0.402441207,0.121991829,Positive,0.033654143,0.454229798,Positive,0.473751515,0.11465974,Positive
Positive,0.052159993,0.434068362,0.396466039,0.032468355,Positive,-0.03644094,0.497839363,Negative,0.413737717,0.154222497,Positive
Positive,0.123809524,0.438690476,0.7,0.201851852,Positive,0.009504132,0.453282828,Positive,0.401458052,0.053128817,Positive
Positive,0.151785714,0.490228175,0.43000146,0.060806277,Positive,0.057782187,0.369753086,Positive,0.440231693,-0.034239681,Negative
Positive,0.1,0.875,0.552506791,0.253270945,Positive,-0.0515625,0.358705357,Negative,0.581930593,0.197719003,Positive
Positive,0.03452381,0.390740741,0.511967809,0.038739429,Positive,0.185,0.315,Positive,0.305989583,-0.0390625,Negative
Positive,0.024507268,0.444925005,0.435052275,0.012062403,Positive,0,0,Neutral,0,0,Neutral
Positive,0.148015873,0.352380952,0.393333333,0.114166667,Positive,0.104761905,0.407142857,Positive,0.361858077,-0.028431373,Negative
Positive,0.292045455,0.384943182,0.665128968,0.286458333,Positive,-0.116666667,0.391666667,Negative,0.423412076,0.0515618,Positive
Negative,-0.093452381,0.532738095,0.377777778,0.288888889,Positive,-0.175,0.6,Negative,0,0,Neutral
Positive,0.060325235,0.324483132,0.460044893,0.121717172,Positive,-0.431818182,0.727272727,Negative,0.480778333,0.093495588,Positive
Positive,0.025468685,0.420081576,0.595141895,-0.147859548,Negative,0,0.2,Neutral,0.366666667,0.283333333,Positive
Positive,0.228373016,0.452728175,0.403676378,0.013723193,Positive,-0.011881978,0.426076555,Negative,0.422588967,0.10684848500000001,Positive
Positive,0.085962697,0.460745614,0.430026831,0.065909091,Positive,-0.08,0.45,Negative,0.417053049,0.11754386,Positive
Positive,0.14375,0.678125,0.828571429,-0.2,Negative,-0.059183673,0.462244898,Negative,0.405299539,0.124724782,Positive
Negative,-0.023611111,0.434722222,0.531068302,0.107173401,Positive,0.111607143,0.45036075,Positive,0.495850327,0.116901487,Positive
Negative,-0.010353535,0.327445887,0.54627193,0.191885965,Positive,0.039339827,0.416325838,Positive,0.396791047,0.058528452,Positive
Positive,0.039317889,0.443715144,0.405032468,-0.046103896,Negative,0.016908789,0.457381456,Positive,0.518250345,0.076532264,Positive
Positive,0.021333333,0.390666667,0.49025974,0.179066172,Positive,0.020574608,0.483683374,Positive,0.29469697,-0.2,Negative
Positive,0.023863636,0.466540404,0.505293527,0.131394542,Positive,-0.037053571,0.366815476,Negative,0.343650794,0.096825397,Positive
Positive,0.012820513,0.37032967,0.477649454,0.137819241,Positive,0.086030875,0.439383158,Positive,0.633333333,-0.166666667,Negative
Positive,0.110277778,0.355,0.509760539,0.139173462,Positive,-0.085213415,0.521835075,Negative,0.48621645,0.125861472,Positive
Negative,-0.007745098,0.39254902,0.352380952,0.1,Positive,-0.03963887,0.435503532,Negative,0.622222222,0.124494949,Positive
Positive,0.031554939,0.352817513,0.410055315,0.111510642,Positive,0.129499008,0.463511905,Positive,0.427710718,0.063862441,Positive
Positive,0.111891878,0.558569109,0.547341772,0.075021097,Positive,0.042587625,0.436820993,Positive,0.50896446,0.151234215,Positive
Positive,0.224107143,0.348065476,0.457312925,0.247789116,Positive,-0.05749112,0.310397935,Negative,0.449641588,0.202093855,Positive
Positive,0.106547619,0.413214286,0.458692956,0.187540584,Positive,0.196258086,0.563815766,Positive,0.419848432,0.078194541,Positive
Positive,0.03274395,0.385971897,0.507211538,0.093933150000000007,Positive,0.037123918,0.478727371,Positive,0.238265306,0.053435374,Positive
Negative,-0.001654777,0.443468284,0.560770975,0.258219955,Positive,-0.015580171,0.405252101,Negative,0.359880656,0.0716133,Positive
Positive,0.07985488,0.399444116,0.553324349,0.018967982,Positive,0.08,0.437777778,Positive,0.526839827,-0.013852814,Negative
Positive,0.125998413,0.485514815,0.350005296,0.059358478,Positive,-0.020378788,0.481742424,Negative,0.75,-0.416666667,Negative
Negative,-0.042823007,0.471475508,0.489393091,0.038641457,Positive,-0.01,0.348333333,Negative,0.52443555,0.14009647,Positive
Positive,0.135249902,0.422694477,0.433301147,-0.039317479,Negative,0.076747961,0.513007148,Positive,0.41658523,0.135911448,Positive
Positive,0.102186283,0.394564241,0.392967372,-0.020899471,Negative,-0.090833333,0.44125,Negative,0.509062856,0.175986845,Positive
Positive,0.045087634,0.387515739,0.376781865,0.067970143,Positive,0,0,Neutral,0.419861,0.053869587,Positive
Positive,0.068647261,0.391989668,0.446582356,0.038760769,Positive,0.011528183,0.390127956,Positive,0.492826513,0.071453075,Positive
Positive,0.021134153,0.454109063,0.414532641,0.122206106,Positive,0.014242169,0.518913158,Positive,0.494995307,0.130636485,Positive
Positive,0.037239709,0.341392252,0.48824221,0.03840388,Positive,-0.047980653,0.414737994,Negative,0.374281935,0.137084278,Positive
